Name,NTF,Scattering,Constructors,Methods,LoCs,VP,Tangling,DT_Max,DT_Min,NGOr_Max,NGXOr_Max,BF_Max,NO,NTop,NLeaf,NVCF,NomesFeatures
ArgoUML/ToDoByPoster.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoByPriority.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoList.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoPane.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TodoParser.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoPerspective.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToolBarUtility.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/Tools.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TreeModelComposite.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLActivityDiagram.java,2,217,69,440,3030,752,19,3,2,0,0,0,2,0,2,X, ; LOGGING ; STATEDIAGRAM
ArgoUML/UMLAssociationRoleBaseComboBoxModel.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/UMLChangeExpressionModel.java,2,217,69,440,3030,752,19,3,2,0,0,0,2,0,2,X, ; LOGGING ; STATEDIAGRAM
ArgoUML/UMLCheckItem.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLClassDiagram.java,2,206,70,424,3018,743,6,3,2,0,0,0,2,0,2,X, ; LOGGING ; USECASEDIAGRAM
ArgoUML/UMLClassifierRoleAvailableContentsListModel.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/UMLClassifierRoleAvailableFeaturesListModel.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/UMLCollaborationDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLComboBoxModel2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLDeploymentDiagram.java,2,206,70,424,3018,743,6,3,2,0,0,0,2,0,2,X, ; LOGGING ; USECASEDIAGRAM
ArgoUML/UMLDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UmlDiagramRenderer.java,5,118,8,130,1312,172,117,3,3,0,0,0,5,0,5,X, ; ACTIVITYDIAGRAM ; COLLABORATIONDIAGRAM ; DEPLOYMENTDIAGRAM ; STATEDIAGRAM ; USECASEDIAGRAM
ArgoUML/UMLExpressionBodyField.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
